time,inst,cpy cycles,misses,pages,switches,bus,pref
98,7,2,2269,0,0,0,138
98,7,2,2240,0,0,0,152
98,7,2,2249,0,0,0,152
98,7,2,2234,0,0,0,143
98,7,2,2269,0,0,0,157
98,7,2,2251,0,0,0,152
98,7,2,2249,0,0,0,142
98,7,2,2253,0,0,0,143
98,7,2,2235,0,0,0,149
98,7,2,2273,0,0,0,145
98,7,2,2254,0,0,0,150
97,7,2,2192,0,0,0,144
97,7,2,2112,0,0,0,157
97,7,2,2070,0,0,0,152
97,7,2,2340,0,0,0,163
97,7,2,2265,0,0,0,157
97,7,2,2206,0,0,0,141
97,7,2,2185,0,0,0,141
97,7,2,2296,0,0,0,160
97,7,2,2326,0,0,0,170
97,7,2,2215,0,0,0,146
97,7,2,2233,0,0,0,147
97,7,2,2211,0,0,0,139
97,7,2,2130,0,0,0,156
97,7,2,2251,0,0,0,153
97,7,2,2071,0,0,0,141
97,7,3,2744,0,0,0,174
97,7,2,2203,0,0,0,144
97,7,2,2225,0,0,0,147
97,7,2,2198,0,0,0,140
97,7,2,2255,0,0,0,151
97,7,2,2200,0,0,0,148
97,7,2,2081,0,0,0,149
97,7,2,2201,0,0,0,136
97,7,2,2164,0,0,0,144
97,7,2,2154,0,0,0,153
97,7,2,2273,0,0,0,148
97,7,2,2156,0,0,0,149
97,7,2,2267,0,0,0,141
97,7,2,2293,0,0,0,141
97,7,2,2255,0,0,0,141
97,7,2,2117,0,0,0,145
97,7,2,2227,0,0,0,146
97,7,2,2264,0,0,0,155
97,7,2,2281,0,0,0,156
97,7,2,2143,0,0,0,155
97,7,2,2113,0,0,0,153
97,7,2,2254,0,0,0,156
97,7,2,2127,0,0,0,157
97,7,2,2315,0,0,0,154
97,7,2,2109,0,0,0,150
97,7,2,2284,0,0,0,146
97,7,2,2285,0,0,0,155
97,7,2,2262,0,0,0,157
97,7,2,2269,0,0,0,147
97,7,2,2115,0,0,0,150
97,7,2,2257,0,0,0,152
97,7,2,2118,0,0,0,150
97,7,2,2297,0,0,0,152
97,7,2,2243,0,0,0,143
97,7,2,2277,0,0,0,161
97,7,2,2243,0,0,0,153
97,7,2,2306,0,0,0,149
97,7,2,2111,0,0,0,144
97,7,2,2256,0,0,0,156
97,7,2,2284,0,0,0,155
96,7,2,2187,0,0,0,142
